chr,pos,pval,mac,eff_size,SE
1,73,0.80425674,9,2.3646014,35.198673
1,92,0.17437582,43,-7.149251,21.339817
1,110,0.8393025,6,-2.2580094,39.99195
1,123,0.214164,2,23.500137,67.03371
1,125,0.8648451,8,-1.7457033,37.232044
1,201,0.020847209,1,62.56905,96.707
1,213,0.5447286,1,-16.037275,90.795074
1,219,1.0,1,-0.08982295,89.48073
1,223,0.43012545,1,-21.547226,93.55239
1,237,0.32202676,2,18.849787,67.184525
1,241,0.97071147,1,-0.94074655,88.15444
1,253,0.84402466,9,-1.8320901,34.187813
1,266,0.7868547,3,-4.381836,56.662636
1,270,1.0,1,-0.08982295,89.48073
1,276,1.0,1,-0.08982295,89.48073
1,284,0.97071147,1,-0.94074655,88.15444
1,311,1.0,1,-0.08982295,89.48073
1,323,0.5447286,1,-16.037275,90.795074
1,334,0.46849746,1,-20.715986,97.8586
1,342,0.83534026,1,-5.5126348,91.1669
1,346,0.28587365,34,6.841012,25.61589
1,352,0.8865439,3,-1.3676217,35.131622
1,353,0.8658178,5,-1.4617548,32.117462
1,363,0.38267148,14,-6.396327,27.651964
1,395,0.976895,2,-0.57882136,68.78698
1,396,0.976895,2,-0.57882136,68.78698
1,419,0.40891454,1,-22.146214,91.88429
1,425,0.7363174,10,-3.1421022,34.18939
1,471,0.7363174,10,-3.1421022,34.18939
1,502,0.32558504,42,5.490443,22.98213
1,508,0.637873,49,-2.4553657,21.593628
1,524,0.020847209,1,62.56905,96.707
1,530,0.9479971,6,0.866253,47.24315
1,540,0.62780184,2,9.873086,71.0835
1,542,0.976895,2,-0.57882136,68.78698
1,597,0.9479971,6,0.866253,47.24315
1,603,0.95495623,7,0.671883,42.546608
1,617,0.97951895,2,-0.5111141,68.7845
1,626,0.9479971,6,0.866253,47.24315
1,643,0.52983385,3,-9.699002,53.828598
1,645,0.52983385,3,-9.699002,53.828598
1,657,0.5141704,33,4.2334623,25.711355
1,663,0.5447286,1,-16.037275,90.795074
1,677,0.8658178,5,-1.4617548,32.117462
1,689,0.88331556,2,2.384491,57.0768
1,698,0.5362778,68,3.1648464,21.394382
1,706,0.89369965,5,1.59387,42.833683
1,730,0.28587365,34,6.841012,25.61589
1,754,0.2136002,3,14.273356,42.31678
1,755,0.5362778,68,3.1648464,21.394382
1,756,0.0997286,2,-43.545547,90.65137
1,757,0.976895,2,-0.57882136,68.78698
1,766,0.52983385,3,-9.699002,53.828598
1,773,0.34670654,1,-32.067802,116.48178
1,783,0.62780184,2,9.873086,71.0835
1,833,0.08474454,4,20.406044,43.967674
1,839,0.976895,2,-0.57882136,68.78698
1,880,0.30995628,1,-25.377087,85.68503
1,889,0.6200286,1,-12.668487,87.73032
1,922,0.48572162,5,-8.73884,44.322475
1,940,0.48572162,5,-8.73884,44.322475
1,953,0.2089923,33,8.117183,25.954212
1,956,0.7482395,9,3.1609395,36.298424
1,998,0.52983385,3,-9.699002,53.828598
1,1001,0.62780184,2,9.873086,71.0835
1,1016,0.2089923,33,8.117183,25.954212
1,1045,0.8648451,8,-1.7457033,37.232044
1,1075,0.8865439,3,-1.3676217,35.131622
1,1143,0.95495623,7,0.671883,42.546608
1,1150,0.95495623,7,0.671883,42.546608
1,1152,0.32811308,1,-26.670317,93.381256
1,1159,0.89369965,5,1.59387,42.833683
1,1240,0.8865439,3,-1.3676217,35.131622
1,1260,0.2089923,33,8.117183,25.954212
1,1287,0.95495623,7,0.671883,42.546608
1,1304,0.976895,2,-0.57882136,68.78698
1,1391,0.48572162,5,-8.73884,44.322475
1,1420,0.6075788,4,-8.713917,58.985825
1,1459,0.5447286,1,-16.037275,90.795074
1,1506,0.4169301,1,23.006998,98.31287
1,1645,0.93761265,15,-0.49667206,25.004412
1,1646,0.93761265,15,-0.49667206,25.004412
1,1904,0.52983385,3,-9.699002,53.828598
1,1918,0.40891454,1,-22.146214,91.88429
1,1936,0.40891454,1,-22.146214,91.88429
1,1974,0.0406861,4,30.06724,53.89813
1,1978,0.62780184,2,9.873086,71.0835
1,1989,0.32202676,2,18.849787,67.184525
1,2090,0.2937699,1,-29.196342,95.199005
1,2092,0.79446447,1,-7.058234,93.04362
1,2227,0.48572162,5,-8.73884,44.322475
1,2290,0.976895,2,-0.57882136,68.78698
1,2309,0.2089923,33,8.117183,25.954212
1,2310,0.2089923,33,8.117183,25.954212
1,2328,0.2937699,1,-29.196342,95.199005
1,2358,0.86665744,4,2.2301323,47.268856
1,2389,0.40891454,1,-22.146214,91.88429
1,2391,0.18750064,2,-24.247566,63.44975
1,2407,0.85398257,5,-2.4233057,46.6533
1,2454,0.4656479,2,-13.551777,64.1803
1,2533,0.40891454,1,-22.146214,91.88429
1,2545,0.2937699,1,-29.196342,95.199005
1,2554,0.30527347,13,-7.902251,28.760597
1,2634,0.79649407,1,-5.398729,72.34808
1,2652,0.40891454,1,-22.146214,91.88429
1,2654,0.40891454,1,-22.146214,91.88429
1,2673,0.36421067,16,-5.569582,24.022858
1,2748,0.95495623,7,0.671883,42.546608
1,2763,0.824833,1,5.797052,90.38086
1,2784,0.97472805,2,-0.6121304,67.00961
1,2793,0.97472805,2,-0.6121304,67.00961
1,2826,0.95495623,7,0.671883,42.546608
1,2881,0.95495623,7,0.671883,42.546608
1,2923,0.4189594,1,-21.217646,89.97471
1,2955,0.390781,1,-23.085047,92.15988
1,2966,0.34670654,1,-32.067802,116.48178
1,2980,0.390781,1,-23.085047,92.15988
